idx,folder,filename,entity,doc_type,format,url_source,download_status,size_bytes,sha256_hash,timestamp_utc,error_detail
1,01_ESPANA,CNMV_Nota_Legal_y_Condiciones_Uso.html,CNMV (Comisión Nacional del Mercado de Valores),Nota Legal Oficial y Condiciones de Reutilización de Información,HTML,https://www.cnmv.es/portal/Paginas/NotaLegal.aspx,CAPTURED_403,12272,bf39e0cf182160e3949f3e6c5589ea557339172a487ea2dec1c4301542c16335,2026-08-22 09:33:16,HTTP Error 403: Forbidden
2,01_ESPANA,CNMV_IPP_Visualizacion_y_Descarga_Portal.html,CNMV (Comisión Nacional del Mercado de Valores),Portal Oficial de Información Pública Periódica y ESEF,HTML,https://www.cnmv.es/portal/consultas/em_inffinanual?id=EE&lang=es,OK,211954,e9a8f7eab90da51971430495d574fb96ddebc6abace91dbfc5e25f1266e2fa13,2026-08-22 09:33:16,
3,01_ESPANA,BME_Market_Data_Servicios_y_Licencias.html,Bolsas y Mercados Españoles (BME),Términos y Condiciones de Licencias Market Data y Datos Derivados,HTML,https://www.bolsasymercados.es/bme-exchange/es/Servicios/Market-Data,OK,235911,3bb76134891eee934aaad83301a26d6cd425b3e88386160212745b86de77b1c2,2026-08-22 09:33:16,
4,01_ESPANA,BME_Aviso_Legal_Condiciones_Generales.html,Bolsas y Mercados Españoles (BME),Aviso Legal y Derechos de Propiedad Intelectual,HTML,https://www.bolsasymercados.es/bme-exchange/es/Aviso-Legal,OK,235911,3bb76134891eee934aaad83301a26d6cd425b3e88386160212745b86de77b1c2,2026-08-22 09:33:17,
5,02_FRANCIA,data_gouv_fr_API_info_financiere_Documentation_Terms.html,AMF / data.gouv.fr,Términos de Servicio y Reutilización API info-financière (Open Data),HTML,https://www.data.gouv.fr/es/dataservices/api-info-financiere,OK,84773,0f613f4b3fde2cc2ef358374f48b967a04c4668a9b8c3ba01550091cc798e7ba,2026-08-22 09:33:17,
6,02_FRANCIA,AMF_Mentions_Legales_et_Conditions_Generales.html,Autorité des Marchés Financiers (AMF),Menciones Legales y Reutilización de Documentos Regulados,HTML,https://www.amf-france.org/en/legal-notices,CAPTURED_404,410,9d530c38efe3ea1c1aa6d3ada786c2059683f2dbc4514f8b5189161956dcdde2,2026-08-22 09:33:18,HTTP Error 404: Not Found
7,03_EURONEXT_PAN_UE,Euronext_Terms_of_Use_Legal_Notice.html,Euronext Group,Aviso Legal y Condiciones de Propiedad Intelectual,HTML,https://www.euronext.com/en/terms-use,OK,409718,f53d949e07b9e92810309572992eb346167446e3190b85703cd9ae9ef4e50454,2026-08-22 09:33:18,
8,03_EURONEXT_PAN_UE,Euronext_Market_Data_Agreements_Overview.html,Euronext Group,"Market Data Services, Display & Derived Data Terms",HTML,https://www.euronext.com/en/data,OK,438704,090920852dd977451f669d75abb0cf6b0d8f937ad3fd653d9238bd1c788a3a1d,2026-08-22 09:33:19,
9,04_ALEMANIA,Deutsche_Boerse_Market_Data_Services.html,Deutsche Börse Group / Xetra,Market Data Dissemination Agreement (MDDA) Overview,HTML,https://www.deutsche-boerse.com/dbg-en/products-services/market-data-analytics,CAPTURED_404,107531,b44d914352427e205b77840d7fe08ad8b3d2fbcfcf1d2f47f0eaa6bcd71a4460,2026-08-22 09:33:19,HTTP Error 404: Not Found
10,04_ALEMANIA,Unternehmensregister_Terms_AGB.html,Unternehmensregister (Bundesanzeiger Verlag),Condiciones Generales de Contratación y Acceso (AGB),HTML,https://www.unternehmensregister.de/ureg/agb.html,OK,560595,c1b68be345ff91a66de0de58010101623dd77c7c108a576e98a0c882ddc5ebc3,2026-08-22 09:33:21,
11,05_ITALIA,1INFO_SDIR_Storage_Portal_Terms.html,1INFO (Computershare / CONSOB OAM),Condiciones de Acceso y Archivo de Información Regulada,HTML,https://www.1info.it,OK,7560,8aa161ccf3dbe9b9e16889eedbfd2670d1a3db3fac64a0df0c265ec65649c637,2026-08-22 09:33:21,
12,05_ITALIA,CONSOB_Disclaimer_and_Copyright.html,CONSOB (Commissione Nazionale per le Società e la Borsa),Portal Oficial y Condiciones de Reutilización de Datos,HTML,https://www.consob.it,OK,521838,e4c7d660302df68ec8793a6a9b5fccaf4fb42aea5f113bca8a994e21f5268995,2026-08-22 09:33:22,
13,06_PAISES_BAJOS,AFM_Terms_of_Use_Disclaimer.html,AFM (Autoriteit Financiële Markten),Términos de Uso y Descargo de Responsabilidad Oficial,HTML,https://www.afm.nl/en/disclaimer,OK,42295,6ef4a6ab0a19b30d43d5d0d9634110173809f8df1022ae33b687f282b40d0265,2026-08-22 09:33:23,
14,07_PAN_EUROPEO_OFICIAL,ESAP_Reglamento_UE_2023_2859_Oficial.pdf,Unión Europea (EUR-Lex / ESMA),Reglamento (UE) 2023/2859 por el que se crea el Punto de Acceso Único Europeo (ESAP),PDF,https://eur-lex.europa.eu/legal-content/ES/TXT/PDF/?uri=OJ:L_202302859,OK,754914,4a3bc5bcd050d8517c5ab29be4e9052a95d164f13554227053e46fb199e6538e,2026-08-22 09:33:23,
15,07_PAN_EUROPEO_OFICIAL,ESMA_ESEF_Reporting_Manual_Official.pdf,ESMA (European Securities and Markets Authority),Manual Oficial de Información ESEF 2024 (Inline XBRL),PDF,https://www.esma.europa.eu/sites/default/files/library/esma32-60-254_esef_reporting_manual.pdf,OK,1136320,02edd7a0039b247c9c163cf2ebb5b1f3975908c268af23474b36cf5c28dba331,2026-08-22 09:33:23,
16,07_PAN_EUROPEO_OFICIAL,GLEIF_Terms_of_Use_Open_Data_CC_BY_4_0.html,GLEIF (Global Legal Entity Identifier Foundation),Licencia y Términos de Uso de Datos Abiertos LEI (CC-BY 4.0),HTML,https://www.gleif.org/en/about/terms-of-use,CAPTURED_404,180237,d4c82fbbdc60ccc37610f1c923bcd78b0374dad7305162b987c68a8ba4c0a389,2026-08-22 09:33:25,HTTP Error 404: Not Found
17,07_PAN_EUROPEO_OFICIAL,filings_xbrl_org_About_and_API_License.html,XBRL International / filings.xbrl.org,Términos de Uso y Condiciones de la API Pública de Filings ESEF,HTML,https://filings.xbrl.org/docs/about,OK,10748,8e90d56737dedee7668e590f4fc75dceb3a06897f7d6756e06c9cb6bed683006,2026-08-22 09:33:26,
18,07_PAN_EUROPEO_OFICIAL,Directiva_UE_2019_1024_Datos_Abiertos_Reutilizacion.pdf,Parlamento Europeo y Consejo de la UE,Directiva (UE) 2019/1024 sobre datos abiertos y reutilización de información del sector público,PDF,https://eur-lex.europa.eu/legal-content/ES/TXT/PDF/?uri=CELEX:32019L1024,OK,563431,f98d6ec6eb9115a75e4eb0ad3af09503610f97f0ec8770c1b74b16b05510a196,2026-08-22 09:33:26,
